epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,511.401,1.0517,0.71738,1.15811,0.94686,0.91229,0.95839,0.68155,1.01217,0.56653,1.09702,0.00119333,0.00119333,0.00119333
57,520.344,1.04148,0.70371,1.14944,0.9279,0.90512,0.95752,0.6816,1.01571,0.58074,1.08732,0.00117867,0.00117867,0.00117867
58,529.558,1.0402,0.71598,1.14367,0.93265,0.91566,0.95654,0.67369,1.0499,0.57969,1.11997,0.001164,0.001164,0.001164
59,538.455,1.02849,0.71445,1.14005,0.93553,0.9006,0.95238,0.66996,1.02871,0.57999,1.11278,0.00114933,0.00114933,0.00114933
60,547.472,1.01929,0.69426,1.13616,0.93384,0.91407,0.96037,0.68706,0.99865,0.57613,1.07397,0.00113467,0.00113467,0.00113467
61,556.738,1.02109,0.70451,1.14507,0.90949,0.89759,0.94461,0.66671,1.03383,0.60236,1.11989,0.00112,0.00112,0.00112
62,565.668,1.02717,0.7057,1.14441,0.93107,0.91265,0.95584,0.68026,1.00066,0.56597,1.09023,0.00110533,0.00110533,0.00110533
63,574.64,1.01178,0.70272,1.13637,0.91464,0.91979,0.95447,0.67913,1.03739,0.58254,1.09935,0.00109067,0.00109067,0.00109067
64,583.655,1.03613,0.70646,1.14311,0.90388,0.90637,0.94678,0.66796,1.01326,0.60778,1.08969,0.001076,0.001076,0.001076
65,592.881,1.0051,0.67377,1.12111,0.94533,0.91143,0.95586,0.67839,1.02049,0.55839,1.0895,0.00106133,0.00106133,0.00106133
66,601.78,1.01552,0.67899,1.13066,0.94755,0.92018,0.95928,0.68588,1.00369,0.5667,1.07798,0.00104667,0.00104667,0.00104667
67,610.722,1.00144,0.67077,1.12631,0.93225,0.9262,0.96012,0.69758,0.97624,0.54543,1.07034,0.001032,0.001032,0.001032
68,619.821,1.01147,0.68287,1.12179,0.9475,0.9242,0.9614,0.69643,0.99181,0.54354,1.07713,0.00101733,0.00101733,0.00101733
69,628.766,0.99479,0.65784,1.11416,0.94027,0.93072,0.96341,0.70069,0.96474,0.5446,1.06813,0.00100267,0.00100267,0.00100267
70,637.717,0.99683,0.6725,1.13232,0.95313,0.9262,0.96932,0.69399,0.98164,0.53689,1.06508,0.000988,0.000988,0.000988
71,646.645,0.99771,0.68627,1.12603,0.94002,0.92049,0.962,0.69465,0.99278,0.53117,1.07589,0.000973333,0.000973333,0.000973333
72,655.891,0.99377,0.6613,1.12104,0.94774,0.91867,0.96372,0.70515,0.98893,0.52829,1.07089,0.000958667,0.000958667,0.000958667
73,664.827,0.97622,0.65604,1.11208,0.96141,0.9262,0.96641,0.70617,0.98593,0.51322,1.08932,0.000944,0.000944,0.000944
74,673.713,0.98801,0.65515,1.1177,0.94677,0.92922,0.96054,0.70787,0.96396,0.51498,1.06518,0.000929333,0.000929333,0.000929333
75,682.6,0.9718,0.64766,1.11356,0.92015,0.93223,0.95974,0.70975,0.95671,0.52082,1.07197,0.000914667,0.000914667,0.000914667
76,691.792,0.97191,0.6398,1.10824,0.92969,0.93373,0.9676,0.70896,0.96148,0.51583,1.06401,0.0009,0.0009,0.0009
77,700.849,0.9739,0.65251,1.11379,0.94406,0.92169,0.96011,0.7123,0.9335,0.52976,1.04072,0.000885333,0.000885333,0.000885333
78,709.798,0.95423,0.62744,1.09939,0.94812,0.90835,0.96074,0.70675,0.95155,0.51822,1.06238,0.000870667,0.000870667,0.000870667
79,719.027,0.9516,0.63307,1.09539,0.94782,0.93004,0.9665,0.69992,0.96558,0.51117,1.05952,0.000856,0.000856,0.000856
80,727.92,0.96637,0.64084,1.10441,0.96057,0.91722,0.96664,0.71059,0.96405,0.50277,1.07027,0.000841333,0.000841333,0.000841333
81,736.902,0.92648,0.6102,1.08694,0.93397,0.94127,0.96417,0.70269,0.96409,0.51549,1.07302,0.000826667,0.000826667,0.000826667
82,745.852,0.97342,0.63901,1.10711,0.94007,0.93373,0.96658,0.71519,0.95623,0.50186,1.06288,0.000812,0.000812,0.000812
83,755.141,0.94449,0.62167,1.09757,0.93032,0.93223,0.9645,0.71081,0.96279,0.50712,1.05963,0.000797333,0.000797333,0.000797333
84,764.049,0.9464,0.62471,1.10078,0.94414,0.94178,0.97047,0.70878,0.96337,0.49783,1.06204,0.000782667,0.000782667,0.000782667
85,773.126,0.93812,0.60992,1.09384,0.94209,0.93095,0.96579,0.71386,0.93776,0.49521,1.04135,0.000768,0.000768,0.000768
86,782.267,0.95166,0.61131,1.09876,0.9624,0.92518,0.96156,0.71523,0.94982,0.49679,1.05441,0.000753333,0.000753333,0.000753333
87,791.204,0.93815,0.60453,1.08561,0.95327,0.93072,0.96967,0.7224,0.938,0.49013,1.05235,0.000738667,0.000738667,0.000738667
88,800.145,0.92649,0.5971,1.08966,0.94971,0.94127,0.96963,0.71385,0.94393,0.49097,1.05403,0.000724,0.000724,0.000724
89,809.084,0.92519,0.60232,1.0866,0.95243,0.93223,0.96277,0.70656,0.96468,0.50581,1.05721,0.000709333,0.000709333,0.000709333
90,818.322,0.93998,0.61343,1.09576,0.95085,0.93236,0.96041,0.7124,0.93874,0.48793,1.05196,0.000694667,0.000694667,0.000694667
91,827.208,0.92562,0.5939,1.08086,0.95837,0.91717,0.96664,0.72398,0.92951,0.48441,1.05214,0.00068,0.00068,0.00068
92,836.165,0.90608,0.59451,1.07631,0.9496,0.91416,0.96737,0.7196,0.9283,0.48023,1.03694,0.000665333,0.000665333,0.000665333
93,845.341,0.90056,0.58657,1.06923,0.96136,0.93072,0.96991,0.72436,0.92049,0.47737,1.0479,0.000650667,0.000650667,0.000650667
94,854.313,0.91362,0.5892,1.08198,0.97229,0.93373,0.96766,0.72366,0.93138,0.47433,1.04361,0.000636,0.000636,0.000636
95,863.159,0.90408,0.58485,1.07615,0.9416,0.94706,0.97064,0.72434,0.92547,0.46868,1.04487,0.000621333,0.000621333,0.000621333
96,871.955,0.89508,0.57254,1.07577,0.94594,0.94875,0.97227,0.7353,0.90141,0.46139,1.0361,0.000606667,0.000606667,0.000606667
97,881.259,0.90515,0.57313,1.06987,0.95885,0.93976,0.97114,0.73081,0.91775,0.45898,1.0459,0.000592,0.000592,0.000592
98,890.116,0.90017,0.57038,1.07206,0.93725,0.92234,0.9642,0.72458,0.92706,0.48617,1.04623,0.000577333,0.000577333,0.000577333
99,898.934,0.87945,0.56666,1.06337,0.95527,0.93279,0.97355,0.73026,0.9137,0.47203,1.03618,0.000562667,0.000562667,0.000562667
100,907.956,0.89433,0.56116,1.07005,0.94555,0.94148,0.96939,0.73224,0.90633,0.45938,1.04421,0.000548,0.000548,0.000548
101,916.93,0.88379,0.55935,1.07171,0.94848,0.94262,0.96726,0.72882,0.90764,0.45948,1.05274,0.000533333,0.000533333,0.000533333
102,925.892,0.87948,0.55665,1.06963,0.95124,0.94015,0.96411,0.72879,0.9203,0.46279,1.05361,0.000518667,0.000518667,0.000518667
103,934.816,0.87827,0.57185,1.06683,0.938,0.9488,0.96738,0.73083,0.90912,0.45882,1.04664,0.000504,0.000504,0.000504
