epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1490.94,0.96467,0.6167,1.2061,0.95079,0.9396,0.97498,0.68917,0.98599,0.4872,1.27794,0.0005348,0.0005348,0.0005348
76,1510.48,0.97939,0.60993,1.21131,0.95717,0.92128,0.97425,0.69516,1.00545,0.46339,1.28856,0.000515,0.000515,0.000515
77,1529.98,0.97887,0.61418,1.20552,0.94444,0.93869,0.97053,0.68991,1.01332,0.47493,1.29035,0.0004952,0.0004952,0.0004952
78,1549.24,0.98567,0.60859,1.21273,0.94912,0.9408,0.9711,0.68625,1.00071,0.45859,1.29448,0.0004754,0.0004754,0.0004754
79,1568.86,0.97238,0.58068,1.2039,0.952,0.94341,0.97237,0.6925,0.99704,0.45649,1.28472,0.0004556,0.0004556,0.0004556
80,1588.09,0.96353,0.58198,1.19999,0.96894,0.93763,0.97659,0.69923,0.98586,0.44029,1.28032,0.0004358,0.0004358,0.0004358
81,1607.69,0.95809,0.58324,1.19818,0.95927,0.94607,0.97425,0.69727,0.98708,0.44631,1.27707,0.000416,0.000416,0.000416
82,1627.11,0.96493,0.58146,1.20092,0.96221,0.94191,0.97702,0.69733,0.99604,0.45817,1.28118,0.0003962,0.0003962,0.0003962
83,1646.42,0.95352,0.5715,1.19365,0.96734,0.93936,0.97648,0.69305,0.99763,0.44134,1.28118,0.0003764,0.0003764,0.0003764
84,1665.78,0.93923,0.56522,1.18277,0.97229,0.9408,0.97717,0.70487,0.97783,0.43255,1.2753,0.0003566,0.0003566,0.0003566
85,1685.08,0.96221,0.57423,1.1876,0.95194,0.94223,0.97471,0.70006,0.99028,0.44348,1.27854,0.0003368,0.0003368,0.0003368
86,1704.52,0.93656,0.57425,1.18682,0.97154,0.93825,0.97501,0.69994,0.97558,0.44131,1.27803,0.000317,0.000317,0.000317
87,1723.9,0.93351,0.55679,1.17853,0.95522,0.94706,0.97423,0.70108,0.9663,0.43712,1.27018,0.0002972,0.0002972,0.0002972
88,1743.24,0.93164,0.5635,1.18361,0.95742,0.94397,0.97361,0.70218,0.97875,0.43686,1.27587,0.0002774,0.0002774,0.0002774
89,1762.69,0.9427,0.56667,1.18678,0.9493,0.94926,0.976,0.7072,0.96863,0.42185,1.26762,0.0002576,0.0002576,0.0002576
90,1782.24,0.93905,0.56062,1.18907,0.96524,0.93925,0.97778,0.70858,0.96363,0.42244,1.27107,0.0002378,0.0002378,0.0002378
91,1804.47,0.85436,0.45183,1.1608,0.96201,0.93701,0.97641,0.70225,0.98012,0.4348,1.27409,0.000218,0.000218,0.000218
92,1824.03,0.83993,0.39423,1.15002,0.95463,0.95032,0.9754,0.70352,0.97003,0.43073,1.26775,0.0001982,0.0001982,0.0001982
93,1843.18,0.83403,0.39607,1.14046,0.95833,0.94609,0.9783,0.70684,0.9659,0.43287,1.26375,0.0001784,0.0001784,0.0001784
94,1862.59,0.82159,0.382,1.14383,0.96743,0.94195,0.97593,0.70814,0.96938,0.42268,1.26474,0.0001586,0.0001586,0.0001586
95,1881.79,0.81934,0.38017,1.12952,0.95604,0.94926,0.97477,0.70689,0.96612,0.42189,1.26589,0.0001388,0.0001388,0.0001388
96,1900.93,0.81742,0.37676,1.12836,0.96845,0.94087,0.97542,0.71316,0.96045,0.42015,1.25997,0.000119,0.000119,0.000119
97,1920.51,0.80231,0.37156,1.12966,0.96581,0.95558,0.97923,0.71662,0.95912,0.40721,1.25897,9.92e-05,9.92e-05,9.92e-05
98,1939.62,0.79968,0.37239,1.12539,0.96885,0.95334,0.97793,0.71724,0.94266,0.40999,1.25506,7.94e-05,7.94e-05,7.94e-05
99,1958.88,0.80195,0.36892,1.12158,0.96964,0.94537,0.97819,0.71732,0.94881,0.41276,1.25717,5.96e-05,5.96e-05,5.96e-05
100,1978.29,0.792,0.36501,1.11619,0.96379,0.95656,0.97892,0.71603,0.95014,0.41212,1.26059,3.98e-05,3.98e-05,3.98e-05
