epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,813.953,2.13674,1.47556,2.26656,0.92065,0.85542,0.93806,0.65901,2.09224,1.09722,2.17069,0.00100267,0.00100267,0.00100267
70,825.722,2.14669,1.545,2.30596,0.90984,0.85693,0.9315,0.65429,2.03842,1.16709,2.15586,0.000988,0.000988,0.000988
71,837.307,2.15397,1.55736,2.30454,0.9095,0.90211,0.95033,0.66281,2.04593,1.04804,2.13663,0.000973333,0.000973333,0.000973333
72,849.031,2.14855,1.47352,2.28133,0.91586,0.88253,0.9442,0.66585,2.02012,1.07255,2.11302,0.000958667,0.000958667,0.000958667
73,860.675,2.13002,1.47344,2.27974,0.91775,0.88404,0.93862,0.65741,2.09232,1.10104,2.14696,0.000944,0.000944,0.000944
74,872.476,2.11153,1.47458,2.27823,0.95257,0.87708,0.95011,0.67597,2.0245,0.99115,2.11971,0.000929333,0.000929333,0.000929333
75,884.377,2.10268,1.46968,2.27299,0.92582,0.88554,0.94892,0.66981,2.03492,1.0663,2.10829,0.000914667,0.000914667,0.000914667
76,896.003,2.10342,1.4318,2.26168,0.92214,0.89184,0.94636,0.66527,2.04688,1.03764,2.13478,0.0009,0.0009,0.0009
77,907.724,2.09121,1.43583,2.25794,0.90096,0.90425,0.94575,0.69178,1.95957,1.01494,2.09938,0.000885333,0.000885333,0.000885333
78,919.389,2.07445,1.40864,2.2442,0.93662,0.86803,0.94392,0.68062,2.00722,1.03262,2.10554,0.000870667,0.000870667,0.000870667
79,930.83,2.10281,1.4647,2.2459,0.95279,0.88139,0.94985,0.68575,1.96864,1.04413,2.09768,0.000856,0.000856,0.000856
80,942.524,2.08141,1.42029,2.24002,0.93983,0.88554,0.95176,0.68862,1.98874,1.00275,2.13704,0.000841333,0.000841333,0.000841333
81,954.423,2.01903,1.36295,2.22072,0.92524,0.89469,0.93878,0.68207,1.99313,1.02607,2.13309,0.000826667,0.000826667,0.000826667
82,966.158,2.08812,1.41889,2.23839,0.9091,0.90211,0.94289,0.68257,2.01653,1.03175,2.13657,0.000812,0.000812,0.000812
83,977.891,2.05782,1.37787,2.23679,0.92978,0.90813,0.95674,0.69167,1.98007,0.97763,2.10168,0.000797333,0.000797333,0.000797333
84,989.51,2.05025,1.41969,2.2498,0.90402,0.89365,0.94709,0.67424,2.01009,1.04925,2.12363,0.000782667,0.000782667,0.000782667
85,1001.25,2.05069,1.39146,2.24258,0.92665,0.87518,0.94458,0.68183,1.97593,1.04158,2.09611,0.000768,0.000768,0.000768
86,1013.27,2.04097,1.36328,2.22654,0.93716,0.89833,0.95444,0.69351,1.99384,0.9768,2.09153,0.000753333,0.000753333,0.000753333
87,1025.1,2.03221,1.36457,2.20902,0.93426,0.90813,0.95539,0.705,1.88596,0.96177,2.06102,0.000738667,0.000738667,0.000738667
88,1036.66,1.98359,1.34789,2.19779,0.92612,0.8991,0.94602,0.69206,1.91898,0.98146,2.08774,0.000724,0.000724,0.000724
89,1048.69,2.00546,1.35455,2.20903,0.93944,0.90361,0.95333,0.69165,1.9339,0.99579,2.08834,0.000709333,0.000709333,0.000709333
90,1060.48,2.0197,1.34343,2.2176,0.93942,0.90512,0.95748,0.70372,1.93156,0.94063,2.09003,0.000694667,0.000694667,0.000694667
91,1072.35,2.0135,1.33183,2.20584,0.93349,0.89458,0.9507,0.70084,1.92325,0.98362,2.08588,0.00068,0.00068,0.00068
92,1084.19,1.97922,1.34658,2.19611,0.92001,0.90074,0.94928,0.67649,1.98611,1.01675,2.1198,0.000665333,0.000665333,0.000665333
